"","review","brand","variety","style","country","stars","year","top_ten"
"1",2580,"New Touch","T's Restaurant Tantanmen ","Cup","Japan",3.75,"0",0
"2",2579,"Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan",1,"0",0
"3",2578,"Nissin","Cup Noodles Chicken Vegetable","Cup","USA",2.25,"0",0
"4",2577,"Wei Lih","GGE Ramen Snack Tomato Flavor","Pack","Taiwan",2.75,"0",0
"5",2576,"Ching's Secret","Singapore Curry","Pack","India",3.75,"0",0
"6",2575,"Samyang Foods","Kimchi song Song Ramen","Pack","South Korea",4.75,"0",0
"7",2574,"Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan",4,"0",0
"8",2573,"Ikeda Shoku","Nabeyaki Kitsune Udon","Tray","Japan",3.75,"0",0
"9",2572,"Ripe'n'Dry","Hokkaido Soy Sauce Ramen","Pack","Japan",0.25,"0",0
"10",2571,"KOKA","The Original Spicy Stir-Fried Noodles","Pack","Singapore",2.5,"0",0
"11",2570,"Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand",5,"0",0
"12",2569,"Yamachan","Yokohama Tonkotsu Shoyu","Pack","USA",5,"0",0
"13",2568,"Nongshim","Mr. Bibim Stir-Fried Kimchi Flavor","Pack","South Korea",4.25,"0",0
"14",2567,"Nissin","Deka Buto Kimchi Pork Flavor","Bowl","Japan",4.5,"0",0
"15",2566,"Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5,"0",0
"16",2565,"KOKA","Mushroom Flavour Instant Noodles","Cup","Singapore",3.5,"0",0
"17",2564,"TRDP","Mario Masala Noodles","Pack","India",3.75,"0",0
"18",2563,"Yamachan","Tokyo Shoyu Ramen","Pack","USA",5,"0",0
"19",2562,"Binh Tay","Mi Hai Cua","Pack","Vietnam",4,"0",0
"20",2561,"Paldo","Premium Gomtang","Pack","South Korea",4,"0",0
"21",2560,"Nissin","Cup Noodles Laksa Flavour","Cup","Hong Kong",4.25,"0",0
"22",2559,"Jackpot Teriyaki","Beef Ramen","Pack","USA",5,"0",0
